"","authfull","inst_name","cntry","np6020","firstyr","lastyr","rank (ns)","nc9620 (ns)","h20 (ns)","hm20 (ns)","nps (ns)","ncs (ns)","cpsf (ns)","ncsf (ns)","npsfl (ns)","ncsfl (ns)","c (ns)","npciting (ns)","cprat (ns)","np6020 cited9620 (ns)","self%","rank","nc9620","h20","hm20","nps","ncs","cpsf","ncsf","npsfl","ncsfl","c","npciting","cprat","np6020 cited9620","np6020_d","nc9620_d","sm-subfield-1","sm-subfield-1-frac","sm-subfield-2","sm-subfield-2-frac","sm-field","sm-field-frac","rank sm-subfield-1","rank sm-subfield-1 (ns)","sm-subfield-1 count"
"1314","Huang, Ta Jen","National Tsing Hua University","twn",71,2000,2012,316639,2156,22,13.6666666666667,1,1,47,885,68,2046,2.93724654911354,1836,1.17429193899782,71,0.1698,293053,2597,26,15.8333333333333,1,1,47,1217,68,2473,3.03699608464628,1902,1.36540483701367,71,0,25,"Energy",0.352112676056338,"Physical Chemistry",0.23943661971831,"Enabling & Strategic Technologies",0.394366197183099,4037,4404,229150
"1315","Peng, Song Tsuen","Yuan Ze University","twn",109,1973,2016,317720,1305,13,7.91666666666667,10,96,38,561,88,1010,2.93557633926913,1091,1.1961503208066,63,0.0732,320574,1408,15,8.83333333333333,10,107,38,601,88,1075,2.99423863779948,1139,1.23617208077261,67,0,4,"Networking & Telecommunications",0.688073394495413,"Optoelectronics & Photonics",0.110091743119266,"Information & Communication Technologies",0.697247706422018,3254,3167,183648
"1316","Wu, Chih Ping","National Cheng Kung University","twn",125,1990,2021,317810,1753,24,15.3333333333333,0,0,115,1614,120,1710,2.93543257218202,1240,1.41370967741935,113,0.3179,249289,2570,30,20.8333333333333,0,0,115,2370,120,2499,3.11198160102077,1341,1.91648023862789,116,0,29,"Mechanical Engineering & Transports",0.312,"Applied Mathematics",0.2,"Engineering",0.496,1885,2288,109724
"1317","Huang, Tzu Ting","Chang Gung University College of Medicine","twn",36,2004,2021,317812,756,18,9.85,4,64,22,613,29,718,2.93543170151554,698,1.08309455587393,33,0.0418,356120,789,18,9.85,4,73,22,635,29,745,2.94394240172585,715,1.1034965034965,35,0,6,"Nursing",0.777777777777778,"Health Policy & Services",0.0555555555555556,"Public Health & Health Services",0.861111111111111,1399,1297,90621
"1318","Tsai, Chia Wen","Ming Chuan University","twn",89,2005,2021,318544,677,16,10.025,24,146,53,401,78,635,2.93431579973343,602,1.12458471760797,70,0.3189,238698,994,19,12.6916666666667,24,249,53,584,78,931,3.1318666420015,703,1.41394025604552,75,0,27,"Education",0.423529411764706,"Information Systems",0.141176470588235,"Social Sciences",0.458823529411765,1400,2141,70063
"1319","Chang, Yue Cune","Tamkang University","twn",180,1997,2021,318703,4726,38,13.0236471861472,1,25,4,71,27,283,2.93410668544386,4002,1.18090954522739,165,0.099,347052,5245,39,13.864917027417,1,26,4,74,27,298,2.95614183027542,4321,1.21383938903032,169,0,42,"Nursing",0.227777777777778,"Psychiatry",0.222222222222222,"Clinical Medicine",0.661111111111111,1345,1302,90621
"1320","Chen, Yuan Lin","Ming Chi University of Technology","twn",49,1993,2019,318718,734,13,9.5,11,173,29,488,43,704,2.93408177469044,570,1.28771929824561,37,0.0697,338078,789,14,10,11,185,29,532,43,755,2.96877154867777,593,1.33052276559865,38,0,21,"Energy",0.469387755102041,"Electrical & Electronic Engineering",0.26530612244898,"Enabling & Strategic Technologies",0.469387755102041,4837,4444,229150
"1321","Yang, Wein Duo","National Kaohsiung University of Science and Technology","twn",92,1996,2021,318866,1314,20,10.3928571428571,4,65,24,355,45,497,2.93388155649078,1268,1.03627760252366,80,0.0661,336541,1407,22,10.8928571428571,4,71,24,375,45,542,2.9710197218727,1332,1.05630630630631,83,12,44,"Materials",0.532608695652174,"Applied Physics",0.173913043478261,"Enabling & Strategic Technologies",0.66304347826087,5320,4853,285331
"1322","Yang, Sheng Ming","National Taipei University of Technology","twn",71,1988,2021,319420,917,17,10.6666666666667,3,40,38,613,62,871,2.93309430680629,822,1.11557177615572,58,0.0719,352141,988,17,11.3333333333333,3,40,38,651,62,932,2.94919648516582,872,1.13302752293578,60,0,22,"Electrical & Electronic Engineering",0.771428571428571,"Mechanical Engineering & Transports",0.0571428571428571,"Engineering",0.857142857142857,1286,1102,105029
"1323","Lee, Meng Chih","National Health Research Institutes Taiwan","twn",155,1991,2021,320144,3358,28,10.7592893217893,5,27,19,81,79,959,2.93199037781859,3157,1.0636680392778,137,0.0795,311723,3648,30,12.2854797979798,5,32,19,106,79,1070,3.00729730035212,3377,1.08024874148653,143,1,30,"General & Internal Medicine",0.129032258064516,"Public Health",0.109677419354839,"Clinical Medicine",0.554838709677419,3233,3596,224174
"1324","Liou, Yi Cheng","Kun Shan University","twn",69,1994,2018,320581,667,16,11.8666666666667,7,69,59,570,63,626,2.93130241662437,501,1.3313373253493,67,0.3117,262501,969,20,12.9833333333333,7,95,59,830,63,891,3.08811089825865,569,1.70298769771529,68,0,12,"Materials",0.753623188405797,"Applied Physics",0.202898550724638,"Enabling & Strategic Technologies",0.782608695652174,3960,4878,285331
"1325","Yeh, Mei Ling","National Taipei University of Nursing and Health Sciences","twn",96,2002,2021,320828,1188,19,11.1277777777778,6,38,35,416,64,736,2.93092339896444,1065,1.11549295774648,82,0.1193,318987,1349,20,12.3777777777778,6,45,35,489,64,852,2.99656236048745,1139,1.18437225636523,85,0,15,"Nursing",0.572916666666667,"Complementary & Alternative Medicine",0.208333333333333,"Public Health & Health Services",0.645833333333333,1214,1317,90621
"1326","Yu, Hsuan Fu","Tamkang University","twn",28,1990,2021,321156,646,16,10.0833333333333,4,104,23,552,27,641,2.93044335100717,596,1.08389261744966,28,0.0651,342605,691,17,10.5833333333333,4,116,23,585,27,682,2.96233210064162,617,1.11993517017828,28,0,24,"Materials",0.428571428571428,"Applied Physics",0.285714285714286,"Enabling & Strategic Technologies",0.428571428571428,5434,4886,285331
"1327","Lin, Chih Hong","National United University Taiwan","twn",124,2000,2021,321332,1017,14,9.33333333333333,59,189,106,337,113,581,2.93016576400573,911,1.11635565312843,91,0.2683,191142,1390,19,14.2,59,406,106,663,113,930,3.23045198659104,1020,1.36274509803922,104,7,17,"Electrical & Electronic Engineering",0.39344262295082,"Industrial Engineering & Automation",0.180327868852459,"Engineering",0.647540983606557,621,1105,105029
"1328","Chen, Wen Tzu","National Cheng Kung University","twn",32,1996,2016,321865,585,11,8.75,13,380,24,525,29,580,2.92937458953701,489,1.19631901840491,28,0.0394,365750,609,11,8.75,13,393,24,545,29,604,2.9310894974459,507,1.20118343195266,28,0,14,"Networking & Telecommunications",0.71875,"Industrial Engineering & Automation",0.0625,"Information & Communication Technologies",0.8125,3829,3210,183648
"1329","Lee, Chuan Pei","University of Taipei","twn",109,1974,2021,322014,3412,36,13.8436868686869,0,0,22,806,25,905,2.92915749731608,2815,1.21207815275311,106,0.1502,326861,4015,39,15.5552308802309,0,0,22,918,25,1020,2.98497181024154,3034,1.3233355306526,106,0,51,"Energy",0.327102803738318,"Nanoscience & Nanotechnology",0.317757009345794,"Enabling & Strategic Technologies",0.654205607476635,4622,4501,229150
"1330","Cheng, Po Tai","National Tsing Hua University","twn",153,1996,2021,322533,2933,27,12.6416666666667,2,0,40,861,132,2255,2.92843957818915,2449,1.19763168640261,119,0.1039,343048,3273,28,13.5583333333333,2,0,40,961,132,2523,2.96176024566862,2636,1.24165402124431,133,0,58,"Electrical & Electronic Engineering",0.967105263157895,"Energy",0.0197368421052632,"Engineering",0.980263157894737,1241,1109,105029
"1331","Lee, Chen Yi","National Chiao Tung University","twn",311,1989,2021,322647,3287,30,15.8345238095238,1,2,18,84,294,3103,2.92828020808029,2640,1.24507575757576,246,0.132,343678,3787,31,16.9452380952381,1,2,18,89,294,3580,2.96089490168503,2880,1.31493055555556,264,4,95,"Electrical & Electronic Engineering",0.593548387096774,"Computer Hardware & Architecture",0.132258064516129,"Engineering",0.596774193548387,1246,1110,105029
"1332","Lin, Chun Ming","National Taipei University of Technology","twn",38,2010,2017,323022,1215,14,8.3734126984127,5,61,28,809,29,811,2.92772398122851,995,1.22110552763819,34,0.0508,346792,1280,15,8.8234126984127,5,67,28,844,29,846,2.95654597410486,1036,1.23552123552124,35,0,15,"Materials",0.605263157894737,"Applied Physics",0.131578947368421,"Enabling & Strategic Technologies",0.657894736842105,5513,4935,285331
"1333","Chen, Cheng I.","National Central University","twn",62,2006,2021,323600,1089,16,9.95,6,78,39,483,48,588,2.92688459363343,853,1.27667057444314,44,0.0933,333733,1201,17,10.6166666666667,6,94,39,524,48,645,2.97488579432908,905,1.32707182320442,45,0,30,"Energy",0.419354838709677,"Electrical & Electronic Engineering",0.338709677419355,"Enabling & Strategic Technologies",0.435483870967742,4759,4527,229150
"1334","Tsai, Kuang Chung","National Kaohsiung University of Science and Technology","twn",41,2002,2021,325178,645,16,9.37063492063492,6,184,16,414,28,527,2.92455193066184,517,1.24758220502901,33,0.1054,349181,721,16,9.87063492063492,6,197,16,457,28,580,2.95321535015456,560,1.2875,33,3,24,"Civil Engineering",0.268292682926829,"Energy",0.146341463414634,"Enabling & Strategic Technologies",0.365853658536585,906,759,47647
"1335","Chiou, Arthur","National Yang Ming Chiao Tung University","twn",166,1981,2021,325216,1747,24,11.0487845487845,17,23,38,251,99,803,2.92448453995031,1604,1.08915211970075,109,0.1511,338195,2058,26,11.7515623265623,17,23,38,262,99,966,2.96858716675907,1793,1.14779698828779,119,0,10,"Optoelectronics & Photonics",0.378048780487805,"Optics",0.237804878048781,"Enabling & Strategic Technologies",0.439024390243902,1683,1429,108280
"1336","Lo, Ship Peng","De Lin Institute of Technology","twn",27,1995,2012,326649,630,14,8.91666666666667,3,244,10,387,24,623,2.92238539885468,573,1.09947643979058,24,0.0455,366048,660,15,8.91666666666667,3,245,10,388,24,652,2.93070174327235,596,1.10738255033557,25,1,36,"Materials",0.518518518518518,"Industrial Engineering & Automation",0.222222222222222,"Enabling & Strategic Technologies",0.518518518518518,5860,4990,285331
"1337","Huang, Tien Shang","Cathay General Hospital Taiwan","twn",143,1981,2020,327039,1948,26,11.8107142857143,3,11,30,389,66,662,2.92184273812722,1763,1.10493477027794,120,0.0816,346702,2121,27,11.8440476190476,3,13,30,451,66,740,2.95665799112097,1877,1.12999467234949,126,0,24,"General & Internal Medicine",0.286713286713287,"Endocrinology & Metabolism",0.258741258741259,"Clinical Medicine",0.699300699300699,3635,3672,224174
"1338","Hsieh, Hsiu Fang","Fooyin University Taiwan","twn",6,2003,2009,327684,16309,6,2.41666666666667,0,0,6,16309,6,16309,2.92085326841626,16308,1.00006131959774,6,4e-04,379824,16315,6,2.41666666666667,0,0,6,16315,6,16315,2.91263618123517,16314,1.00006129704548,6,0,131,"Nursing",0.666666666666667,"Medical Informatics",0.166666666666667,"Public Health & Health Services",0.666666666666667,1506,1356,90621
"1339","Lin, Hsiung Cheng","National Chin-Yi University of Technology","twn",123,2000,2021,327889,664,10,7.45,37,474,80,575,102,589,2.92056715297743,599,1.10851419031719,65,0.2523,242530,888,13,11.25,37,630,80,773,102,795,3.12455184708515,662,1.34138972809668,76,8,33,"Artificial Intelligence & Image Processing",0.214876033057851,"Electrical & Electronic Engineering",0.173553719008264,"Engineering",0.297520661157025,4191,5728,253359
